採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,測站編號,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
,,,,,,,,℃,℃,,μmho/cm25℃,mg/L,mg/L,%,mg/L,mg/L,mg/L,CFU/100mL,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,mg/L
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/8/5 下午 01:40:00,1332,1.0,31.6,26.4,7.9,260,7.7,7.6,95.5,<1.0,4.3,2.2,9000,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/7/8 下午 01:57:00,1332,1.0,31.6,26.8,8.4,225,8.8,8.8,110.6,<1.0,<4.0,1.9,350,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/6/4 上午 07:46:00,1332,1.0,25,20.8,7.6,201,8.2,8.4,94.7,1.2,<4.0,<1.0,<10,<0.01,--,0.035,0.57,0.21,0.005,<0.001,0.003,<0.002,0.0013,<0.0003,0.002,0.022,0.007,0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/5/5 上午 07:25:00,1332,1.0,27.0,19.3,8.1,168,9.7,9.7,105.5,1.3,<4.0,1.3,90,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/4/7 下午 01:25:00,1332,1.0,20.3,17.9,7.4,190,10.0,10.2,107.8,<1.0,<4.0,2.8,220,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/3/3 上午 08:56:00,1332,1.0,18.3,17.9,7.5,168,9.5,9.6,100.9,<1.0,<4.0,<1.0,130,<0.01,--,0.028,0.55,0.38,<0.001,<0.001,<0.003,<0.002,0.0006,<0.0003,<0.001,0.034,0.075,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/2/6 上午 06:55:00,1332,1.0,18.9,17.2,7.4,180,9.2,9.5,98.0,<1.0,4.1,7.9,220,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,美慶山莊,－,2009/1/8 上午 09:55:00,1332,1.0,15.0,17.0,7.7,192,9.6,9.8,100.6,<1.0,<4.0,4.2,260,<0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/12/2 下午 01:45:00,1221,3.8,23.9,22.3,7.0,213,4.6,4.7,53.5,4.7,11.9,32.4,240000,2.03,--,0.534,3.88,1.05,0.157,<0.001,<0.003,<0.002,0.0023,<0.0003,0.003,0.012,0.078,<0.001,<0.001,--,--,--,--
得子口溪流域,得子口溪,宜蘭縣,七結橋(取代得子口橋),－,2009/11/3 下午 02:05:00,1221,2.8,19.6,20.3,7.3,188,7.4,7.5,81.3,2.7,7.4,62.7,290000,0.80,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
